i,j,flow
SH,CS,11.819999999999997
SH,CQ,16.020000000000003
SH,GY,7.16
SH,CD,13.0
NT,HF,3.34
NT,BB,2.56
NT,WH,14.8
NT,CS,3.52
NT,NC,2.46
NT,ZZ,2.28
NT,YC,0.72
NT,CQ,3.4
NT,GY,1.26
NT,CD,4.6
HZ,CS,6.78
HZ,NC,6.56
HZ,ZZ,0.05999999999999872
HZ,YC,7.04
HZ,CQ,7.7
HZ,GY,2.52
HZ,CD,17.34
NJ,CS,12.46
NJ,NC,4.08
NJ,ZZ,11.960000000000004
NJ,YC,7.36
NJ,CQ,3.08
NJ,GY,3.7
NJ,CD,5.36
HF,NT,3.34
HF,CS,5.36
HF,NC,3.78
HF,ZZ,3.8199999999999967
HF,YC,12.3
HF,GY,17.6
HF,CD,1.8
BB,NT,2.56
BB,XZ,3.32
BB,WH,12.46
BB,CS,3.0
BB,NC,2.48
BB,ZZ,1.64
BB,YC,11.2
BB,CQ,5.0
BB,GY,0.72
BB,CD,2.96
XZ,BB,3.32
XZ,WH,11.28
XZ,CS,2.52
XZ,NC,2.06
XZ,ZZ,1.9
XZ,YC,1.56
XZ,CQ,7.2
XZ,GY,1.84
XZ,CD,2.46
WH,NT,14.8
WH,BB,12.46
WH,XZ,11.28
WH,ZZ,6.68000000000001
WH,GY,2.7799999999999923
CS,SH,19.71999999999999
CS,NT,3.52
CS,HZ,6.78
CS,NJ,12.46
CS,BB,3.0
CS,XZ,2.52
NC,NT,2.46
NC,HZ,6.56
NC,NJ,4.08
NC,HF,3.78
NC,BB,2.48
NC,XZ,2.06
NC,ZZ,8.64
NC,YC,4.52
NC,CQ,5.6
NC,GY,2.7
NC,CD,0.4799999999999933
ZZ,NT,2.28
ZZ,HZ,0.05999999999999872
ZZ,NJ,11.960000000000004
ZZ,HF,0.8
ZZ,BB,1.64
ZZ,XZ,2.379999999999984
ZZ,WH,6.6800000000000095
ZZ,CS,2.54
ZZ,NC,8.64
ZZ,YC,3.3
ZZ,GY,7.72
YC,NT,0.72
YC,HZ,7.04
YC,NJ,7.36
YC,HF,12.3
YC,BB,11.2
YC,XZ,1.56
YC,NC,4.52
YC,ZZ,3.3
CQ,SH,5.840000000000014
CQ,NT,3.4
CQ,HZ,7.7
CQ,NJ,3.08
CQ,HF,10.179999999999989
CQ,BB,5.0
CQ,XZ,7.2
CQ,NC,5.6
GY,SH,7.16
GY,NT,1.26
GY,HZ,2.52
GY,NJ,3.7
GY,HF,17.6
GY,BB,0.72
GY,XZ,1.84
GY,WH,2.779999999999993
GY,NC,2.7
GY,ZZ,7.72
CD,SH,15.279999999999998
CD,NT,4.6
CD,HZ,17.34
CD,NJ,5.36
CD,BB,2.96
CD,XZ,2.46
